gameid,team,model_prob_1,Actual_winning_team,Model_winning_team,team2,date,year,round,venue,starttime,win_loss,home_away,team_score,rainfall,team_points,opposing_team_score,win_loss_margin,win_loss_margin_percent,disposals,kicks,marks,handballs,goals,behinds,hitouts,tackles,rebounds,inside50s,clearances,clangers,frees,frees_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside50,one_percenters,bounces,goal_assists
2012R1002,Geelong,0.7886665328388993,Geelong,Geelong,Greater Western Sydney,2012-06-02,2012,R10,Kardinia Park,13:45:00,1,1,89.8,8.48,12,82.0,7.8,18.8,374.4,217.6,91.8,156.8,12.8,10.8,39.4,70.0,33.8,54.2,36.6,48.2,15.4,18.8,138.8,226.2,9.4,11.0,52.0,8.8,8.4
2012R1003,North Melbourne,0.3955316373181269,Hawthorn,Hawthorn,Hawthorn,2012-06-02,2012,R10,York Park,14:10:00,0,0,102.0,4.32,8,101.0,1.0,0.8,357.4,196.4,75.8,161.0,15.0,9.4,45.2,64.8,30.2,54.4,39.8,45.6,16.4,19.8,143.6,210.0,11.2,10.2,48.2,12.2,7.4
2012R1003,Hawthorn,0.5970548333300011,Hawthorn,Hawthorn,North Melbourne,2012-06-02,2012,R10,York Park,14:10:00,1,1,100.2,6.6,12,88.6,11.6,25.4,382.2,216.2,96.6,166.0,14.0,13.6,37.6,63.4,30.4,55.6,39.2,45.2,16.2,18.8,143.6,241.6,11.4,13.4,50.4,6.2,7.6
2012R1004,Adelaide,0.7253684900029473,Adelaide,Adelaide,Fremantle,2012-06-02,2012,R10,Subiaco,14:40:00,1,0,100.8,1.48,16,77.4,23.4,33.4,351.0,219.6,89.0,131.4,15.0,9.0,52.6,67.4,36.8,50.4,41.6,36.4,16.6,17.2,152.2,194.0,14.0,10.8,43.0,6.6,10.6
2012R1004,Fremantle,0.2685170223170525,Adelaide,Adelaide,Adelaide,2012-06-02,2012,R10,Subiaco,14:40:00,0,1,67.4,0.64,8,80.4,-13.0,-28.6,355.2,192.0,83.8,163.2,9.4,8.4,44.8,71.8,34.8,43.6,34.0,41.2,17.8,15.6,137.0,219.2,9.6,7.8,46.0,5.6,7.4
2012R1005,Carlton,0.6922558933176771,Port Adelaide,Carlton,Port Adelaide,2012-06-02,2012,R10,Football Park,19:10:00,0,0,87.0,2.5199999999999996,12,79.0,8.0,27.8,353.0,204.0,87.0,149.0,12.4,10.4,51.8,78.4,29.0,51.8,38.0,40.8,13.2,16.2,141.8,208.6,12.2,12.6,49.6,14.4,7.4
2012R1005,Port Adelaide,0.3011985128817152,Port Adelaide,Carlton,Carlton,2012-06-02,2012,R10,Football Park,19:10:00,1,1,81.0,2.2399999999999998,8,90.2,-9.2,-20.8,340.0,187.6,83.6,152.4,12.0,6.8,38.4,66.8,37.8,44.8,35.2,46.2,19.4,17.8,135.8,204.2,8.2,8.6,43.0,14.0,7.8
2012R1006,Essendon,0.8830862426106011,Melbourne,Essendon,Melbourne,2012-06-02,2012,R10,M.C.G.,19:40:00,0,1,113.6,4.24,16,71.2,42.4,73.2,391.8,237.0,105.2,154.8,16.6,11.0,40.8,65.6,37.8,58.2,40.6,40.8,18.0,15.8,146.2,240.2,13.0,12.0,49.6,5.8,10.6
2012R1006,Melbourne,0.1137600424854865,Melbourne,Essendon,Essendon,2012-06-02,2012,R10,M.C.G.,19:40:00,1,0,55.4,1.2799999999999998,0,112.6,-57.2,-122.0,322.0,195.4,84.4,126.6,7.6,8.4,52.0,70.0,42.4,42.2,34.2,42.6,17.2,17.6,132.0,184.2,13.2,6.8,52.6,6.8,4.4
2012R1007,West Coast,0.6297914786490181,Brisbane Lions,West Coast,Brisbane Lions,2012-06-03,2012,R10,Gabba,13:10:00,0,0,96.8,2.44,16,86.4,10.4,17.0,350.6,211.4,107.4,139.2,13.8,11.2,42.6,59.4,28.2,53.0,36.0,39.8,22.6,15.4,135.6,216.4,16.4,11.8,42.0,11.4,7.8
