Match Number,Round Number,Date,Location,Home Team,Away Team,Round Number2,GameNo,gameid_new,,gameid,year,round,date,venue,startTime,attendance,homeTeam,homeTeam_Score,awayTeam,awayTeam_Score,rainfall,winning team,winningmargin,winningmargin_percent,hometeam_points,awayteam_points
29,4,8/04/2022 19:50,GMHBA Stadium,Geelong Cats,Brisbane Lions,4,2,2022R0402,,2022R402,2022,R4,8/04/2022,GMHBA Stadium,7:50:00 PM,0,Geelong Cats,0,Brisbane Lions, , ,,,,,
30,4,9/04/2022 13:45,SCG,Sydney Swans,North Melbourne,4,3,2022R0403,,2022R403,2022,R4,9/04/2022,SCG,1:45:00 PM,0,Sydney Swans,0,North Melbourne, , ,,,,,
31,4,9/04/2022 16:35,Marvel Stadium,Collingwood,West Coast Eagles,4,4,2022R0404,,2022R404,2022,R4,9/04/2022,Marvel Stadium,4:35:00 PM,0,Collingwood,0,West Coast Eagles, , ,,,,,
32,4,9/04/2022 19:25,MCG,Richmond,Western Bulldogs,4,5,2022R0405,,2022R405,2022,R4,9/04/2022,MCG,7:25:00 PM,0,Richmond,0,Western Bulldogs, , ,,,,,
33,4,9/04/2022 19:25,Optus Stadium,Fremantle,GWS Giants,4,6,2022R0406,,2022R406,2022,R4,9/04/2022,Optus Stadium,7:25:00 PM,0,Fremantle,0,GWS Giants, , ,,,,,
34,4,10/04/2022 13:10,Marvel Stadium,Essendon,Adelaide Crows,4,7,2022R0407,,2022R407,2022,R4,10/04/2022,Marvel Stadium,1:10:00 PM,0,Essendon,0,Adelaide Crows, , ,,,,,
35,4,10/04/2022 15:20,MCG,Hawthorn,St Kilda,4,8,2022R0408,,2022R408,2022,R4,10/04/2022,MCG,3:20:00 PM,0,Hawthorn,0,St Kilda, , ,,,,,
36,4,10/04/2022 16:10,Metricon Stadium,Gold Coast Suns,Carlton,4,9,2022R0409,,2022R409,2022,R4,10/04/2022,Metricon Stadium,4:10:00 PM,0,Gold Coast Suns,0,Carlton, , ,,,,,
37,5,14/04/2022 19:35,Gabba,Brisbane Lions,Collingwood,5,1,2022R0501,,2022R501,2022,R5,14/04/2022,Gabba,7:35:00 PM,0,Brisbane Lions,0,Collingwood, , ,,,,,
38,5,15/04/2022 16:20,Marvel Stadium,North Melbourne,Western Bulldogs,5,2,2022R0502,,2022R502,2022,R5,15/04/2022,Marvel Stadium,4:20:00 PM,0,North Melbourne,0,Western Bulldogs, , ,,,,,
39,5,15/04/2022 19:40,Optus Stadium,West Coast Eagles,Sydney Swans,5,3,2022R0503,,2022R503,2022,R5,15/04/2022,Optus Stadium,7:40:00 PM,0,West Coast Eagles,0,Sydney Swans, , ,,,,,
