gameId,year,round,date,venue,startTime,attendance,homeTeam,homeTeam_Score,awayTeam,awayTeam_Score,rainfall,winning team,winningmargin,winningmargin_percent,hometeam_points,awayteam_points
2022R509,2022,R5,18/04/2022,MCG,3:20:00 PM,0,Hawthorn,0,Geelong Cats,0,0,not played yet,0,0,0,0
2022R601,2022,R6,22/04/2022,Manuka Oval,7:50:00 PM,0,GWS Giants,0,St Kilda,0,0,not played yet,0,0,0,0
2022R602,2022,R6,23/04/2022,Mars Stadium,1:45:00 PM,0,Western Bulldogs,0,Adelaide Crows,0,0,not played yet,0,0,0,0
2022R603,2022,R6,23/04/2022,Adelaide Oval,4:35:00 PM,0,Port Adelaide,0,West Coast Eagles,0,0,not played yet,0,0,0,0
2022R604,2022,R6,23/04/2022,Optus Stadium,7:40:00 PM,0,Fremantle,0,Carlton,0,0,not played yet,0,0,0,0
2022R605,2022,R6,24/04/2022,Blundstone Arena,1:10:00 PM,0,North Melbourne,0,Geelong Cats,0,0,not played yet,0,0,0,0
2022R606,2022,R6,24/04/2022,Metricon Stadium,4:10:00 PM,0,Gold Coast Suns,0,Brisbane Lions,0,0,not played yet,0,0,0,0
2022R607,2022,R6,24/04/2022,MCG,7:25:00 PM,0,Richmond,0,Melbourne,0,0,not played yet,0,0,0,0
2022R608,2022,R6,25/04/2022,University of Tasmania Stadium,12:30:00 PM,0,Hawthorn,0,Sydney Swans,0,0,not played yet,0,0,0,0
2022R609,2022,R6,25/04/2022,MCG,3:20:00 PM,0,Essendon,0,Collingwood,0,0,not played yet,0,0,0,0
2022R701,2022,R7,29/04/2022,Optus Stadium,8:10:00 PM,0,West Coast Eagles,0,Richmond,0,0,not played yet,0,0,0,0
2022R702,2022,R7,30/04/2022,GMHBA Stadium,1:45:00 PM,0,Geelong Cats,0,Fremantle,0,0,not played yet,0,0,0,0
2022R703,2022,R7,30/04/2022,Adelaide Oval,2:10:00 PM,0,Adelaide Crows,0,GWS Giants,0,0,not played yet,0,0,0,0
2022R704,2022,R7,30/04/2022,MCG,4:35:00 PM,0,Melbourne,0,Hawthorn,0,0,not played yet,0,0,0,0
2022R705,2022,R7,30/04/2022,Cazalys Stadium,7:25:00 PM,0,St Kilda,0,Port Adelaide,0,0,not played yet,0,0,0,0
2022R706,2022,R7,30/04/2022,Marvel Stadium,7:25:00 PM,0,Carlton,0,North Melbourne,0,0,not played yet,0,0,0,0
2022R707,2022,R7,1/05/2022,MCG,1:10:00 PM,0,Collingwood,0,Gold Coast Suns,0,0,not played yet,0,0,0,0
2022R708,2022,R7,1/05/2022,Marvel Stadium,3:20:00 PM,0,Western Bulldogs,0,Essendon,0,0,not played yet,0,0,0,0
2022R709,2022,R7,1/05/2022,SCG,4:40:00 PM,0,Sydney Swans,0,Brisbane Lions,0,0,not played yet,0,0,0,0
2022R801,2022,R8,6/05/2022,Adelaide Oval,7:30:00 PM,0,Port Adelaide,0,Western Bulldogs,0,0,not played yet,0,0,0,0
2022R802,2022,R8,6/05/2022,Optus Stadium,8:40:00 PM,0,Fremantle,0,North Melbourne,0,0,not played yet,0,0,0,0
2022R803,2022,R8,7/05/2022,MCG,1:45:00 PM,0,Richmond,0,Collingwood,0,0,not played yet,0,0,0,0
2022R804,2022,R8,7/05/2022,SCG,1:45:00 PM,0,Sydney Swans,0,Gold Coast Suns,0,0,not played yet,0,0,0,0
2022R805,2022,R8,7/05/2022,Manuka Oval,4:35:00 PM,0,GWS Giants,0,Geelong Cats,0,0,not played yet,0,0,0,0
2022R806,2022,R8,7/05/2022,Marvel Stadium,7:25:00 PM,0,Essendon,0,Hawthorn,0,0,not played yet,0,0,0,0
2022R807,2022,R8,7/05/2022,Gabba,7:25:00 PM,0,Brisbane Lions,0,West Coast Eagles,0,0,not played yet,0,0,0,0
2022R808,2022,R8,8/05/2022,MCG,1:10:00 PM,0,Melbourne,0,St Kilda,0,0,not played yet,0,0,0,0
2022R809,2022,R8,8/05/2022,Marvel Stadium,4:40:00 PM,0,Carlton,0,Adelaide Crows,0,0,not played yet,0,0,0,0
2022R901,2022,R9,13/05/2022,Marvel Stadium,7:50:00 PM,0,Collingwood,0,Western Bulldogs,0,0,not played yet,0,0,0,0
2022R902,2022,R9,14/05/2022,MCG,1:45:00 PM,0,Hawthorn,0,Richmond,0,0,not played yet,0,0,0,0
2022R903,2022,R9,14/05/2022,Blundstone Arena,2:10:00 PM,0,North Melbourne,0,Port Adelaide,0,0,not played yet,0,0,0,0
2022R904,2022,R9,14/05/2022,Marvel Stadium,4:35:00 PM,0,St Kilda,0,Geelong Cats,0,0,not played yet,0,0,0,0
2022R905,2022,R9,14/05/2022,SCG,7:25:00 PM,0,Sydney Swans,0,Essendon,0,0,not played yet,0,0,0,0
2022R906,2022,R9,14/05/2022,Adelaide Oval,7:40:00 PM,0,Adelaide Crows,0,Brisbane Lions,0,0,not played yet,0,0,0,0
2022R907,2022,R9,15/05/2022,Metricon Stadium,1:40:00 PM,0,Gold Coast Suns,0,Fremantle,0,0,not played yet,0,0,0,0
2022R908,2022,R9,15/05/2022,GIANTS Stadium,3:20:00 PM,0,GWS Giants,0,Carlton,0,0,not played yet,0,0,0,0
2022R909,2022,R9,15/05/2022,Optus Stadium,5:20:00 PM,0,West Coast Eagles,0,Melbourne,0,0,not played yet,0,0,0,0
2022R1001,2022,R10,20/05/2022,Marvel Stadium,12:00:00 PM,0,Carlton,0,Sydney Swans,0,0,not played yet,0,0,0,0
2022R1002,2022,R10,20/05/2022,GMHBA Stadium,12:00:00 PM,0,Geelong Cats,0,Port Adelaide,0,0,not played yet,0,0,0,0
2022R1003,2022,R10,20/05/2022,GIANTS Stadium,12:00:00 PM,0,GWS Giants,0,West Coast Eagles,0,0,not played yet,0,0,0,0
2022R1004,2022,R10,20/05/2022,University of Tasmania Stadium,12:00:00 PM,0,Hawthorn,0,Brisbane Lions,0,0,not played yet,0,0,0,0
2022R1005,2022,R10,20/05/2022,Marvel Stadium,12:00:00 PM,0,North Melbourne,0,Melbourne,0,0,not played yet,0,0,0,0
2022R1006,2022,R10,20/05/2022,MCG,12:00:00 PM,0,Richmond,0,Essendon,0,0,not played yet,0,0,0,0
2022R1007,2022,R10,20/05/2022,Mars Stadium,12:00:00 PM,0,Western Bulldogs,0,Gold Coast Suns,0,0,not played yet,0,0,0,0
2022R1008,2022,R10,20/05/2022,Adelaide Oval,12:30:00 PM,0,Adelaide Crows,0,St Kilda,0,0,not played yet,0,0,0,0
2022R1009,2022,R10,20/05/2022,Optus Stadium,2:00:00 PM,0,Fremantle,0,Collingwood,0,0,not played yet,0,0,0,0
2022R1101,2022,R11,27/05/2022,Gabba,12:00:00 PM,0,Brisbane Lions,0,GWS Giants,0,0,not played yet,0,0,0,0
2022R1102,2022,R11,27/05/2022,MCG,12:00:00 PM,0,Collingwood,0,Carlton,0,0,not played yet,0,0,0,0
2022R1103,2022,R11,27/05/2022,GMHBA Stadium,12:00:00 PM,0,Geelong Cats,0,Adelaide Crows,0,0,not played yet,0,0,0,0
2022R1104,2022,R11,27/05/2022,MCG,12:00:00 PM,0,Melbourne,0,Fremantle,0,0,not played yet,0,0,0,0
2022R1105,2022,R11,27/05/2022,Marvel Stadium,12:00:00 PM,0,St Kilda,0,North Melbourne,0,0,not played yet,0,0,0,0
2022R1106,2022,R11,27/05/2022,SCG,12:00:00 PM,0,Sydney Swans,0,Richmond,0,0,not played yet,0,0,0,0
2022R1107,2022,R11,27/05/2022,TIO Stadium,12:30:00 PM,0,Gold Coast Suns,0,Hawthorn,0,0,not played yet,0,0,0,0
2022R1108,2022,R11,27/05/2022,Adelaide Oval,12:30:00 PM,0,Port Adelaide,0,Essendon,0,0,not played yet,0,0,0,0
2022R1109,2022,R11,27/05/2022,Optus Stadium,2:00:00 PM,0,West Coast Eagles,0,Western Bulldogs,0,0,not played yet,0,0,0,0
2022R1201,2022,R12,3/06/2022,MCG,12:00:00 PM,0,Hawthorn,0,Collingwood,0,0,not played yet,0,0,0,0
2022R1202,2022,R12,3/06/2022,MCG,12:00:00 PM,0,Melbourne,0,Sydney Swans,0,0,not played yet,0,0,0,0
2022R1203,2022,R12,3/06/2022,Marvel Stadium,12:00:00 PM,0,Western Bulldogs,0,Geelong Cats,0,0,not played yet,0,0,0,0
2022R1204,2022,R12,3/06/2022,Adelaide Oval,12:30:00 PM,0,Adelaide Crows,0,West Coast Eagles,0,0,not played yet,0,0,0,0
2022R1205,2022,R12,3/06/2022,TIO Stadium,12:30:00 PM,0,Gold Coast Suns,0,North Melbourne,0,0,not played yet,0,0,0,0
2022R1206,2022,R12,3/06/2022,Optus Stadium,2:00:00 PM,0,Fremantle,0,Brisbane Lions,0,0,not played yet,0,0,0,0
2022R1301,2022,R13,10/06/2022,Gabba,12:00:00 PM,0,Brisbane Lions,0,St Kilda,0,0,not played yet,0,0,0,0
2022R1302,2022,R13,10/06/2022,MCG,12:00:00 PM,0,Collingwood,0,Melbourne,0,0,not played yet,0,0,0,0
2022R1303,2022,R13,10/06/2022,MCG,12:00:00 PM,0,Essendon,0,Carlton,0,0,not played yet,0,0,0,0
2022R1304,2022,R13,10/06/2022,Marvel Stadium,12:00:00 PM,0,North Melbourne,0,GWS Giants,0,0,not played yet,0,0,0,0
2022R1305,2022,R13,10/06/2022,MCG,12:00:00 PM,0,Richmond,0,Port Adelaide,0,0,not played yet,0,0,0,0
2022R1306,2022,R13,10/06/2022,Optus Stadium,2:00:00 PM,0,Fremantle,0,Hawthorn,0,0,not played yet,0,0,0,0
2022R1401,2022,R14,17/06/2022,Metricon Stadium,12:00:00 PM,0,Gold Coast Suns,0,Adelaide Crows,0,0,not played yet,0,0,0,0
2022R1402,2022,R14,17/06/2022,GIANTS Stadium,12:00:00 PM,0,GWS Giants,0,Western Bulldogs,0,0,not played yet,0,0,0,0
2022R1403,2022,R14,17/06/2022,MCG,12:00:00 PM,0,Richmond,0,Carlton,0,0,not played yet,0,0,0,0
2022R1404,2022,R14,17/06/2022,Marvel Stadium,12:00:00 PM,0,St Kilda,0,Essendon,0,0,not played yet,0,0,0,0
