team,team2,gameid,date,year,round,venue,starttime,win_loss,home_away,team_score,rainfall,team_points,opposing_team_score,win_loss_margin,win_loss_margin_percent,disposals,kicks,marks,handballs,goals,behinds,hitouts,tackles,rebounds,inside50s,clearances,clangers,frees,frees_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside50,one_percenters,bounces,goal_assists
Gold Coast,Hawthorn,2018R1403,2018-06-23,2018,R14,York Park,13:45:00,0,0,51.8000000000000000,1.8,0,112.6000000000000000,-60.8000000000000000,-167.8,309.0000000000000000,195.0000000000000000,77.6000000000000000,114.0000000000000000,7.2000000000000000,6.8000000000000000,51.2000000000000000,68.2000000000000000,47.6000000000000000,42.6000000000000000,34.4000000000000000,59.8000000000000000,24.2000000000000000,24.4000000000000000,136.0000000000000000,170.2000000000000000,8.8000000000000000,4.4000000000000000,51.2000000000000000,3.0000000000000000,4.4000000000000000
Gold Coast,St Kilda,2018R1304,2018-06-16,2018,R13,Carrara,16:35:00,0,1,50.6000000000000000,2.4,0,112.8000000000000000,-62.2000000000000000,-169.8,325.6000000000000000,196.0000000000000000,72.4000000000000000,129.6000000000000000,7.0000000000000000,7.0000000000000000,56.0000000000000000,71.8000000000000000,47.6000000000000000,46.2000000000000000,36.4000000000000000,57.8000000000000000,24.8000000000000000,21.8000000000000000,143.8000000000000000,177.6000000000000000,9.0000000000000000,3.8000000000000000,50.2000000000000000,2.4000000000000000,4.2000000000000000
Gold Coast,Greater Western Sydney,2018R1203,2018-06-09,2018,R12,Sydney Showground,16:35:00,0,0,57.8000000000000000,0.6,0,108.0000000000000000,-50.2000000000000000,-102.2,337.8000000000000000,198.8000000000000000,77.8000000000000000,139.0000000000000000,8.0000000000000000,8.0000000000000000,48.0000000000000000,70.8000000000000000,46.0000000000000000,46.2000000000000000,37.6000000000000000,57.2000000000000000,23.0000000000000000,22.4000000000000000,144.2000000000000000,193.4000000000000000,7.8000000000000000,5.0000000000000000,50.4000000000000000,2.8000000000000000,5.2000000000000000
Gold Coast,Geelong,2018R1104,2018-06-02,2018,R11,Carrara,16:35:00,0,1,65.8000000000000000,0.64,4,98.0000000000000000,-32.2000000000000000,-53.6,352.0000000000000000,204.2000000000000000,72.8000000000000000,147.8000000000000000,9.4000000000000000,7.2000000000000000,44.4000000000000000,73.4000000000000000,47.4000000000000000,49.0000000000000000,38.8000000000000000,60.4000000000000000,23.6000000000000000,22.6000000000000000,151.2000000000000000,198.8000000000000000,6.4000000000000000,4.6000000000000000,53.0000000000000000,3.8000000000000000,5.6000000000000000
Gold Coast,North Melbourne,2018R105,2018-03-24,2018,R1,Cazaly's Stadium,18:25:00,1,1,58.6000000000000000,0.16,0,111.0000000000000000,-52.4000000000000000,-157.4,355.8000000000000000,201.4000000000000000,93.6000000000000000,154.4000000000000000,8.8000000000000000,4.6000000000000000,34.6000000000000000,54.6000000000000000,37.4000000000000000,38.6000000000000000,32.2000000000000000,55.2000000000000000,20.0000000000000000,18.4000000000000000,131.8000000000000000,221.0000000000000000,8.0000000000000000,7.6000000000000000,42.2000000000000000,7.8000000000000000,5.4000000000000000
Gold Coast,Port Adelaide,2017R808,2017-05-14,2017,R8,Jiangwan Stadium,13:15:00,0,1,110.2000000000000000,3.56,12,98.8000000000000000,11.4000000000000000,25.4,435.4000000000000000,228.4000000000000000,103.6000000000000000,207.0000000000000000,16.6000000000000000,8.8000000000000000,42.8000000000000000,56.8000000000000000,34.2000000000000000,57.0000000000000000,40.4000000000000000,51.4000000000000000,15.2000000000000000,16.0000000000000000,146.8000000000000000,284.8000000000000000,10.0000000000000000,13.2000000000000000,45.2000000000000000,11.8000000000000000,11.6000000000000000
Gold Coast,Geelong,2017R706,2017-05-06,2017,R7,Carrara,19:25:00,1,1,97.0000000000000000,3.56,8,111.0000000000000000,-14.0000000000000000,-14.8,419.4000000000000000,219.6000000000000000,103.0000000000000000,199.8000000000000000,14.6000000000000000,7.8000000000000000,38.4000000000000000,51.6000000000000000,35.0000000000000000,51.2000000000000000,38.4000000000000000,51.6000000000000000,17.6000000000000000,17.6000000000000000,138.4000000000000000,277.4000000000000000,9.0000000000000000,11.8000000000000000,43.4000000000000000,12.2000000000000000,9.8000000000000000
Gold Coast,North Melbourne,2017R605,2017-04-29,2017,R6,Docklands,19:25:00,0,0,97.4000000000000000,4.88,8,109.2000000000000000,-11.8000000000000000,-12.4,414.8000000000000000,218.6000000000000000,100.4000000000000000,196.2000000000000000,14.6000000000000000,8.2000000000000000,38.4000000000000000,55.4000000000000000,31.6000000000000000,55.0000000000000000,38.8000000000000000,51.0000000000000000,17.6000000000000000,17.4000000000000000,143.2000000000000000,270.6000000000000000,9.8000000000000000,12.8000000000000000,48.0000000000000000,13.0000000000000000,9.8000000000000000
Gold Coast,Adelaide,2017R503,2017-04-22,2017,R5,Carrara,16:35:00,0,1,93.4000000000000000,1.8799999999999997,8,96.4000000000000000,-3.0000000000000000,-3.8,413.2000000000000000,216.0000000000000000,98.0000000000000000,197.2000000000000000,13.8000000000000000,9.2000000000000000,38.6000000000000000,60.0000000000000000,29.2000000000000000,56.0000000000000000,39.2000000000000000,46.0000000000000000,18.0000000000000000,17.0000000000000000,142.2000000000000000,271.2000000000000000,8.8000000000000000,11.6000000000000000,48.0000000000000000,12.6000000000000000,9.4000000000000000
Gold Coast,Carlton,2017R405,2017-04-15,2017,R4,Docklands,19:25:00,1,0,81.2000000000000000,4.4799999999999995,4,103.6000000000000000,-22.4000000000000000,-40.4,389.4000000000000000,203.8000000000000000,88.2000000000000000,185.6000000000000000,11.6000000000000000,10.2000000000000000,34.2000000000000000,63.2000000000000000,30.2000000000000000,55.4000000000000000,38.4000000000000000,43.0000000000000000,19.8000000000000000,16.6000000000000000,140.8000000000000000,248.6000000000000000,8.6000000000000000,9.6000000000000000,50.0000000000000000,12.2000000000000000,7.2000000000000000
