gameid,team,model_prob_1,model_prob_2,model_odds_1,model_odds_2,Actual_winning_team,Model_winning_team,team2,date,year,round,venue,starttime,win_loss,home_away,team_score,rainfall,team_points,opposing_team_score,win_loss_margin,win_loss_margin_percent,disposals,kicks,marks,handballs,goals,behinds,hitouts,tackles,rebounds,inside50s,clearances,clangers,frees,frees_against,contested_possessions,uncontested_possessions,contested_marks,marks_inside50,one_percenters,bounces,goal_assists
2012R1008,Sydney,0.4297923518791429,0.5702076481208571,2.326704967242411,1.7537470837080866,Sydney,Western Bulldogs,Western Bulldogs,2012-06-03,2012,R10,S.C.G.,15:15:00,1,1,96.6,5.64,8,81.4,15.2,48.2,347.0,198.2,77.6,148.8,14.2,8.2,32.6,79.8,30.4,56.4,37.0,42.4,19.2,16.0,139.0,204.2,9.6,12.0,51.8,5.8,9.0
2012R1009,Collingwood,0.8534642125361092,0.1465357874638908,1.171695292329192,6.824271512830401,Collingwood,Collingwood,Gold Coast,2012-06-03,2012,R10,M.C.G.,16:40:00,1,1,93.0,6.04,20,69.4,23.6,39.0,391.0,226.4,83.2,164.6,13.4,10.6,38.2,68.2,37.2,56.0,41.2,45.0,15.0,17.4,160.4,226.0,9.2,9.6,56.6,12.0,8.2
2012R1101,Carlton,0.4323622174807179,0.567637782519282,2.3128755464036286,1.7616868200030908,Geelong,Geelong,Geelong,2012-06-08,2012,R11,Docklands,19:50:00,0,1,83.0,2.52,8,87.4,-4.4,1.0,340.6,196.8,78.0,143.8,11.6,10.6,52.2,80.8,30.4,50.8,40.0,44.4,12.6,16.2,146.6,192.0,12.0,12.8,53.8,13.6,7.6
2012R1102,Richmond,0.7659448981999291,0.2340551018000709,1.305576944699457,4.272498195122432,Fremantle,Richmond,Fremantle,2012-06-09,2012,R11,M.C.G.,13:40:00,0,1,109.8,6.0,16,86.4,23.4,37.8,405.4,218.6,96.2,186.8,16.0,11.2,42.4,61.4,30.2,57.4,36.2,45.8,16.4,17.4,143.2,258.0,10.8,13.0,45.0,13.0,11.2
2012R1103,Gold Coast,0.2000165977432852,0.7999834022567147,4.999585090850648,1.2500259345119513,St Kilda,St Kilda,St Kilda,2012-06-09,2012,R11,Carrara,16:40:00,0,1,62.0,1.8,0,105.4,-43.4,-83.2,368.0,200.2,92.0,167.8,8.8,7.8,32.6,62.6,35.6,40.6,33.6,47.2,13.4,15.2,133.4,234.2,9.6,9.4,52.6,9.2,7.0
2012R1104,Essendon,0.6384816945873996,0.3615183054126004,1.566215615071347,2.7661116602621303,Sydney,Essendon,Sydney,2012-06-09,2012,R11,Docklands,19:40:00,0,1,108.2,0.44000000000000006,16,66.8,41.4,71.0,397.6,238.2,104.2,159.4,15.6,11.8,41.2,61.2,36.6,60.2,38.4,45.2,17.6,17.0,148.0,246.0,10.8,12.4,51.2,6.6,9.8
2012R1105,Port Adelaide,0.2309901512130857,0.7690098487869144,4.329188905883315,1.3003734628073547,Hawthorn,Hawthorn,Hawthorn,2012-06-10,2012,R11,Football Park,16:10:00,0,1,82.6,2.2399999999999998,12,77.2,5.4,7.4,346.6,195.0,80.0,151.6,12.0,7.6,42.2,72.4,36.4,47.6,40.2,44.6,18.6,16.6,144.2,200.6,8.6,6.8,45.0,11.4,7.4
2012R1106,Melbourne,0.1533847543771194,0.8466152456228806,6.519552768206351,1.1811740990611026,Collingwood,Collingwood,Collingwood,2012-06-11,2012,R11,M.C.G.,15:15:00,0,1,53.8,1.2799999999999998,4,106.2,-52.4,-114.2,330.8,200.0,93.0,130.8,7.2,9.2,44.8,66.4,42.4,43.6,32.4,42.6,16.2,16.2,131.0,196.0,15.2,8.0,53.2,6.6,4.0
2012R1201,West Coast,0.618527459783092,0.381472540216908,1.6167430955299618,2.6214206648567493,West Coast,West Coast,Carlton,2012-06-14,2012,R12,Subiaco,17:40:00,1,1,95.4,7.4,12,87.4,8.0,14.6,356.8,216.4,107.4,140.4,13.6,11.4,49.2,59.2,30.2,53.0,38.0,39.2,22.6,14.6,138.0,221.0,15.0,11.2,45.2,12.6,7.8
2012R1202,Adelaide,0.4761655212551651,0.5238344787448348,2.1001100570323006,1.9089999619652955,Adelaide,St Kilda,St Kilda,2012-06-15,2012,R12,Football Park,20:10:00,1,1,101.0,1.48,16,75.6,25.4,36.2,349.4,218.4,87.0,131.0,15.2,8.0,50.4,66.0,36.2,47.8,44.6,34.8,17.2,16.0,155.6,190.8,13.8,10.8,49.6,7.2,11.6
